# Radiation correction v2.3. Params: lat=42.0713, lon=3.1459, utc_time=2021-07-22 20:42
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 1006.94, 31.71, 32.0, 4.24, 17.0
40, 1004.72, 32.27, 30.8, 4.01, 41.6
60, 1002.50, 33.06, 29.7, 4.30, 104.2
80, 1000.29, 33.57, 29.2, 5.16, 159.6
100, 998.09, 33.69, 29.1, 6.25, 175.8
120, 995.89, 33.71, 29.4, 7.91, 179.2
140, 993.70, 34.19, 29.4, 9.19, 182.7
160, 991.52, 35.19, 28.9, 9.91, 184.8
180, 989.36, 36.23, 28.0, 10.42, 184.2
200, 987.20, 37.45, 26.5, 10.94, 177.9
220, 985.06, 38.52, 25.1, 10.93, 178.7
240, 982.93, 39.47, 23.7, 11.02, 192.6
260, 980.81, 40.24, 22.5, 11.39, 210.9
280, 978.70, 40.53, 21.3, 11.67, 224.9
300, 976.59, 40.08, 20.2, 11.77, 232.0
320, 974.48, 39.05, 19.9, 12.16, 231.7
340, 972.36, 37.90, 20.7, 12.89, 230.0
360, 970.24, 37.42, 21.8, 13.49, 227.2
380, 968.13, 37.18, 22.3, 14.25, 222.0
400, 966.02, 36.94, 22.4, 14.96, 216.2
420, 963.91, 36.74, 22.7, 15.14, 217.8
440, 961.81, 36.56, 23.0, 14.83, 220.7
460, 959.71, 36.38, 22.9, 14.53, 222.0
480, 957.61, 36.01, 22.9, 13.45, 222.9
500, 955.52, 35.64, 23.0, 12.58, 221.3
520, 953.42, 35.39, 23.4, 12.56, 219.4
540, 951.33, 35.12, 23.8, 13.37, 220.8
560, 949.25, 34.88, 24.2, 14.05, 225.2
580, 947.16, 34.68, 24.4, 14.61, 229.2
600, 945.08, 34.51, 24.6, 14.55, 230.1
620, 943.01, 34.29, 24.8, 14.07, 231.4
640, 940.93, 34.04, 25.0, 12.90, 225.6
660, 938.86, 33.78, 25.1, 11.17, 233.0
680, 936.79, 33.48, 25.2, 9.39, 246.7
700, 934.73, 33.14, 25.3, 8.19, 245.5
720, 932.66, 32.77, 25.4, 8.88, 246.7
740, 930.60, 32.33, 25.5, 10.05, 250.8
760, 928.54, 31.88, 25.7, 11.50, 252.1
780, 926.48, 31.50, 26.2, 12.99, 247.0
800, 924.42, 31.16, 26.6, 14.30, 245.3
820, 922.36, 30.68, 27.2, 14.74, 243.6
840, 920.31, 30.15, 26.8, 13.65, 240.9
860, 918.26, 29.58, 25.6, 12.75, 242.6
880, 916.20, 29.04, 25.1, 12.21, 246.0
900, 914.15, 28.66, 25.9, 11.57, 245.5
920, 912.10, 28.53, 26.1, 9.86, 234.9
940, 910.05, 28.46, 25.9, 9.20, 228.4
960, 908.01, 28.33, 26.1, 8.63, 228.7
980, 905.97, 28.22, 26.4, 8.37, 232.6
1000, 903.94, 28.14, 26.6, 8.06, 238.5
1020, 901.91, 28.04, 26.8, 7.17, 240.1
1040, 899.88, 28.05, 26.9, 6.11, 239.8
1060, 897.86, 28.17, 26.8, 5.47, 240.3
1080, 895.84, 28.24, 26.9, 5.04, 240.2
1100, 893.83, 28.20, 27.2, 4.91, 237.8
1120, 891.82, 28.06, 27.7, 4.86, 234.9
1140, 889.81, 27.94, 27.9, 4.84, 233.3
1160, 887.81, 27.76, 28.1, 4.83, 232.2
1180, 885.81, 27.53, 28.6, 4.82, 231.2
1200, 883.82, 27.40, 28.9, 4.71, 229.9
1220, 881.83, 27.28, 29.2, 4.59, 228.1
1240, 879.84, 27.09, 29.6, 4.44, 225.8
1260, 877.86, 26.91, 30.1, 4.30, 224.4
1280, 875.88, 26.75, 30.5, 4.20, 224.8
1300, 873.90, 26.58, 30.7, 4.18, 225.1
1320, 871.93, 26.43, 30.9, 4.11, 224.3
1340, 869.96, 26.11, 31.3, 4.04, 222.4
1360, 867.99, 25.94, 31.5, 3.97, 222.5
1380, 866.03, 25.79, 31.7, 3.94, 222.7
1400, 864.07, 25.61, 31.9, 3.88, 222.6
1420, 862.11, 25.44, 32.1, 3.83, 222.9
1440, 860.16, 25.24, 32.4, 3.78, 221.3
1460, 858.21, 25.05, 32.6, 3.70, 219.4
1480, 856.26, 24.84, 32.9, 3.65, 216.6
1500, 854.31, 24.67, 33.1, 3.59, 216.0
1520, 852.37, 24.49, 33.4, 3.53, 214.9
1540, 850.43, 24.28, 33.6, 3.53, 215.3
1560, 848.50, 24.11, 33.7, 3.53, 215.3
1580, 846.57, 23.98, 33.8, 3.53, 216.6
1600, 844.64, 23.77, 34.1, 3.55, 215.9
1620, 842.72, 23.55, 34.4, 3.58, 214.4
1640, 840.79, 23.41, 34.6, 3.62, 214.2
1660, 838.88, 23.22, 34.9, 3.68, 214.1
1680, 836.96, 23.04, 35.1, 3.71, 214.1
1700, 835.05, 22.85, 35.4, 3.73, 213.1
1720, 833.14, 22.66, 35.7, 3.77, 213.7
1740, 831.23, 22.47, 36.1, 3.82, 214.6
1760, 829.33, 22.27, 36.6, 3.88, 215.2
1780, 827.43, 22.05, 36.9, 3.93, 216.0
1800, 825.53, 21.87, 37.1, 3.95, 218.0
1820, 823.64, 21.74, 37.2, 3.92, 219.0
1840, 821.75, 21.59, 37.2, 3.85, 221.2
1860, 819.86, 21.38, 37.3, 3.77, 225.6
1880, 817.98, 21.17, 37.6, 3.72, 230.2
1900, 816.10, 21.01, 37.9, 3.70, 233.7
1920, 814.22, 20.89, 38.0, 3.73, 236.4
1940, 812.35, 20.71, 38.1, 3.80, 237.4
1960, 810.48, 20.43, 38.3, 3.94, 237.4
1980, 808.61, 20.27, 38.4, 4.03, 237.8
2000, 806.74, 20.13, 38.4, 4.09, 238.0
2020, 804.88, 19.95, 38.6, 4.12, 237.4
2040, 803.02, 19.74, 38.9, 4.13, 237.6
2060, 801.17, 19.62, 39.0, 4.28, 238.0
2080, 799.32, 19.45, 38.8, 4.50, 243.6
2100, 797.47, 19.29, 38.5, 4.75, 251.1
2120, 795.62, 19.19, 38.5, 4.96, 253.0
2140, 793.78, 19.01, 38.8, 4.94, 253.8
2160, 791.94, 18.86, 39.0, 4.85, 253.5
2180, 790.10, 18.68, 39.3, 4.81, 254.1
2200, 788.27, 18.47, 39.7, 4.73, 255.6
2220, 786.44, 18.26, 40.2, 4.66, 257.8
2240, 784.61, 18.07, 40.9, 4.62, 261.7
2260, 782.79, 17.90, 41.6, 4.67, 264.9
2280, 780.97, 17.77, 42.0, 4.79, 265.7
2300, 779.15, 17.65, 42.1, 5.01, 264.5
2320, 777.34, 17.50, 42.3, 5.20, 264.2
2340, 775.53, 17.36, 42.5, 5.33, 264.1
2360, 773.72, 17.20, 42.9, 5.35, 263.1
2380, 771.92, 17.04, 43.2, 5.32, 263.1
2400, 770.12, 16.91, 43.2, 5.27, 264.4
2420, 768.32, 16.81, 42.8, 5.19, 266.9
2440, 766.53, 16.70, 42.4, 5.07, 268.2
2460, 764.74, 16.52, 42.4, 4.96, 265.7
2480, 762.95, 16.37, 42.7, 5.03, 262.8
2500, 761.17, 16.19, 43.1, 5.12, 260.5
2520, 759.38, 16.03, 43.2, 5.20, 260.4
2540, 757.61, 15.91, 43.2, 5.29, 260.7
2560, 755.83, 15.73, 43.3, 5.32, 261.3
2580, 754.06, 15.56, 43.5, 5.35, 262.3
2600, 752.29, 15.39, 43.9, 5.40, 262.8
2620, 750.53, 15.19, 44.3, 5.45, 262.6
2640, 748.77, 15.04, 44.6, 5.47, 262.2
2660, 747.01, 14.85, 45.0, 5.48, 262.3
2680, 745.25, 14.61, 45.6, 5.50, 263.0
2700, 743.50, 14.39, 46.2, 5.56, 263.8
2720, 741.75, 14.23, 46.6, 5.64, 263.6
2740, 740.00, 14.07, 47.0, 5.75, 262.9
2760, 738.26, 13.84, 47.5, 5.87, 262.4
2780, 736.51, 13.63, 48.0, 5.94, 262.4
2800, 734.78, 13.48, 48.4, 5.92, 261.9
2820, 733.04, 13.34, 48.7, 6.00, 261.3
2840, 731.31, 13.12, 49.2, 6.11, 262.9
2860, 729.58, 12.89, 49.8, 6.25, 265.7
2880, 727.85, 12.75, 50.1, 6.46, 267.2
2900, 726.13, 12.52, 50.6, 6.55, 268.3
2920, 724.41, 12.34, 51.0, 6.60, 268.0
2940, 722.69, 12.18, 51.4, 6.68, 267.0
2960, 720.97, 12.00, 51.7, 6.82, 265.7
2980, 719.26, 11.85, 51.9, 6.99, 265.0
3000, 717.55, 11.69, 52.0, 7.18, 264.1
3020, 715.85, 11.53, 52.1, 7.34, 263.4
3040, 714.15, 11.39, 52.3, 7.42, 263.2
3060, 712.45, 11.20, 52.7, 7.45, 263.5
3080, 710.75, 11.00, 53.1, 7.51, 263.6
3100, 709.06, 10.85, 53.4, 7.61, 263.0
3120, 707.37, 10.68, 53.6, 7.73, 262.3
3140, 705.68, 10.47, 53.9, 7.86, 262.1
3160, 703.99, 10.30, 54.3, 7.96, 262.2
3180, 702.31, 10.11, 54.8, 8.06, 261.9
3200, 700.63, 9.89, 55.4, 8.10, 261.7
3220, 698.96, 9.74, 55.8, 8.15, 261.9
3240, 697.28, 9.59, 56.3, 8.17, 262.0
3260, 695.61, 9.36, 56.9, 8.18, 262.3
3280, 693.95, 9.17, 57.4, 8.12, 262.4
3300, 692.28, 8.98, 58.1, 8.07, 262.7
3320, 690.62, 8.82, 58.8, 7.97, 262.5
3340, 688.96, 8.64, 59.7, 7.84, 262.0
3360, 687.31, 8.34, 61.2, 7.78, 260.8
3380, 685.65, 8.18, 62.2, 7.74, 260.8
3400, 684.00, 8.03, 63.3, 7.73, 261.0
